time;section_name;reef_section;transect_id;point_id
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
Oligocene;Vitigliano;back reef;VT3;Sediment
